Address;Text;Stars;Date
Стремянная, 1;Часто покупаю продукты, всегда все свежее, спасибо);5;29 августа 2023, отредактирован
Стремянная, 1;Мало товара.;4;22 августа 2023, отредактирован
Стремянная, 1;Отличный магазин, рядом с работой что нужно есть);5;21 июля 2023
Стремянная, 1;пятёрочка через дворы, всегда ходим туда;5;26 июня 2023, отредактирован
Стремянная, 1;21.06.023 где то в 15.05 совершил покупку в этом магазине, на выходе меня остановила женщина в форме сотрудницы магазина. Спросила оплатил ли я покупки, я ответил да, она попросила показать сумку, я отказался. Женщина начала повышать тон и требовать что б я показал свою сумку, я включил видеофиксацию на смартфоне и попросил ее представится. На что женщина начала угрожать мне и ругаться матом, подошли ещё 2 сотрудника, муж и женщина, мужчина представился директором магазина, женщина замом. В это время женщина которая меня остановила начала вырывать у меня тел и душить. Ее директор стоял и ничего не делал, зам директора пыталась рыться у меня в сумке. Через какое то время она увидела чек в сумке и все трое быстро убежали, ни извинений ни чего такого не принесли, я написал заявление в полицию и снял побои. Фото неадекватки которая меня душила и пыталась ограбить, прилагаю.;1;22 июня 2023
Стремянная, 1;Чисто, красиво, после ремонта. Почти все есть;5;9 июня 2023, отредактирован
Стремянная, 1;Хороший магазин);5;28 мая 2023
Стремянная, 1;Пятёрочка везде классная;5;20 мая 2023, отредактирован
Стремянная, 1;Средненько;3;29 апреля 2023, отредактирован
Стремянная, 1;"Нормальный магазин формата ""у дома""";4;28 апреля 2023
Стремянная, 1;Вечно трутся бомжи и очень сильный запах испражнений;3;23 апреля 2023, отредактирован
Стремянная, 1;Во во во! С отзывом ниже согласен! Тоже такая проблемка напрягает) Попрошайничают у входа, могут даже просто среди витрин подойти;4;13 апреля 2023
Стремянная, 1;Магазин хороший, но стоит усилить охрану, очень много попрошаек, остановившись у прилавка за пару минут несколько пьяниц может подойти настойчиво уговаривая купить им еду, хожу в магазин часто, проблема как была так и есть до сих пор;2;18 марта 2023
Стремянная, 1;Часть акции, своя выпечка вкусная и дешёвая.. Часто пользуюсь доставкой;5;17 марта 2023
Стремянная, 1;Хорошее обслуживание, хороший выбор, акции регулярные на продукты питания и разную бытовую химию.;5;14 марта 2023
Стремянная, 1;Часто закупаемся здесь. Всегда овощи и фрукты хорошие;4;24 февраля 2023
Стремянная, 1;Бываем здесь часто, пока всё устраивает.;5;13 февраля 2023
Стремянная, 1;Всё хорошо;5;7 февраля 2023, отредактирован
Стремянная, 1;Хороший магазин.;5;7 февраля 2023, отредактирован
Стремянная, 1;Выбор хороший, много товаров в наличии;4;19 января 2023
Стремянная, 1;Часто пользуюсь доставкой от пятеры, все ок;5;30 декабря 2022
Стремянная, 1;Отличный магазин, обслуживание и ассортимент);5;14 декабря 2022
Стремянная, 1;Полбулки хлеба, уже в нарезке, стоит всего 11р.;5;19 ноября 2022
Стремянная, 1;Гуманные цены, хороший ассортимент;5;13 ноября 2022, отредактирован
Стремянная, 1;Отличная пятерочка. Приветливые сотрудницы. Цены умернные;4;20 октября 2022
Стремянная, 1;очень хороший магазин;5;17 октября 2022, отредактирован
Стремянная, 1;не могу прям советовать, но если нужно купить что то для быстрого перекуса - можно зайти, главное быть внимательными с сроком годности, сеть магазинов любит баловаться в этом вопросе;4;9 сентября 2022
Стремянная, 1;Рекомендую, близко удобно;5;28 августа 2022, отредактирован
Стремянная, 1;Отличный магазин. Нормальные цены.;5;22 августа 2022, отредактирован
Стремянная, 1;дорого но камфортно и порядочно;5;22 июня 2022
Стремянная, 1;честная четверка за обслуживание;4;19 июня 2022
Стремянная, 1;Нету пепси, и кокаколы, а работникам претензии не имею;1;4 июня 2022
Стремянная, 1;На кассе сидит очень хорошая женщина. Сразу предуприла что по акции, нашла то что надо было мне. Хотя мне говорили что нету этого;5;27 мая 2022
Стремянная, 1;Хорошо там;5;1 мая 2022
Стремянная, 1;хорошо что есть такая сеть. ПРодукты такие же как и везде, а цены человеческие;4;21 марта 2022
Стремянная, 1;супер акции, большой выбор, хорошее качество;4;22 февраля 2022
Стремянная, 1;пришла за выпечкой, но не нашла и продавец сказала, что у них ее нетех;3;25 декабря 2021
