Link;Name_of_review;Date;Advantages;Disadvantages;Main_text;Overall_assessment;Assortment;Prices;Delivery;Availability;Service;isRecommended
https://otzovik.com/review_6046781.html;"Отзыв: Сеть магазинов эконом-класса ""Пятерочка"" (Россия) - Неплохие магазины";12.02.2018;Много акций, товары дешевле чем в обычных магазинах;иногда забывают или не успевают убирать желтые ценники.;В целом мне нравятся такие магазины, их много и товары в основном дешевле чем в других магазинах, очень много товаров по акции (с желтыми ценниками) но если посмотреть по внимательнее, то рядом на соседних полках можно найти товар и подешевле и без всяких акций. Ассортимент продукции представлен очень большой, все товары отсортированы по отделам, персонал довольно приветливый, если нужно найти какой то конкретный товар - всегда помогут и вообще проконсультируют по любому вопросу, возникающему привыборе того или иного товара, все продукты свежие, красиво и удобно выложенные, есть даже свой директор по свежести!;4;5;4;5;5;5;ДА
https://otzovik.com/review_6043915.html;"Отзыв: Сеть магазинов эконом-класса ""Пятерочка"" (Россия) - ужасное впечатление";12.02.2018;нет плюсов;грубость. неопределенность в предложении вакансии;"В конце 2017 года, так получилось, что я искала работу. Зарегистрировалась на сайтах. С магазина ""Пятерочка"" мне названивали постоянно, на дню раза по три точно. В конце концов, согласилась. Прельщала вполне нормальная зарплата, да и график нормальный, два через два. В нашем городе много этих магазинов, в каждом районе от двух штук точно.Выбрала, позвонила, назначила собеседование. Хотела работать в должности Товароведа или зам. директора. В этот магазин пошла товароведом. Пришла на собеседование. Его проводил Директор магазина. Начнем с того, что он мне сразу сказал, что ему нужен мужчина, потому что с утра поставки, а с утра грузчиков нет. Поэтому я не подхожу. И предложил мне работать кассиром. Я отказалась, за сим и попрощались. Пришла домой, позвонила в кул-центр, с вопросом, почему не предупредили?! На что мне ответили, что такой информации у них не было. Выбрала магазин в другом районе. Пришла на собеседование, пообщались, всё устроило (правда, тоже предлагали на кассу). Единственное, сказали, что, кроме товароведа, я также буду сидеть на кассе и раскладывать товар в зале. Ну, согласилась, работа нужна. Сказали ждать три дня. Через три дня - тишина. Позвонила в кул-центр. Там мне сказали, что взяли туда другого человека. Попросила подругу позвонить и сказать, якобы она хочет устроится на эту же должность, в этот же магазин. На что ей ответили, что там вакансия свободна. После этого, я снова позвонила в кул-центр, прояснить ситуацию. Мне ответили, что я не прошла проверку каких то служб. До этого я работала в магазине, гораздо выше уровня ""Пятерочки"", и прошла туда без проблем. На что оператор грубо мне ответила, что : если не прошли, то не прошли. И, вообще, попытаться устроиться в ""Пятерочку"" я смогу только через месяц, так как у них такие правила. В итоге, ходила в четыре ""Пятерочки"". Везде отказ, потому что я отказывалась работать кассиром. Сотрудники кул-центра грубые, отвечают так, как-будто я устраиваюсь на работу именно к ним. Да и вообще, лохотрон какой то. Ни кому не советую тратить свои нервы из-за этого Сельпо, как называют его люди";1;1;1;1;1;1;НЕТ
https://otzovik.com/review_6032799.html;"Отзыв: Сеть магазинов эконом-класса ""Пятерочка"" (Россия) - ОБМАН, нет звезд магазину г.Иваново, ул.Дзержинского, 12";09.02.2018;нет и не будет, пока не сменится руководство;обман за обманом и ответственность никто не несет...;"Первый раз столкнулись, с обманом, когда покупали в конце августа помидоры по 90 руб, а нам их пробили по 210. Увидели в машине чек, но Маленький ребенок у нас уже пристегнули ее в кресле, плакала. пришлось ехать домой, обманутыми. Второй раз с месяц назад купили с мужем селедку по акции 79 руб, пробито за 149 руб... Позвонила по горячей лиинии, дали телефон директорши, которая сказала не работает уже и дала другой номер, который конечно неправильный( неправильно набран номер, отвечал телефон). Потом, тк я оставила претензию, которая должна быть рассмотрена в течение 5 дн, перезвонил тот же голос( точно) и сказала ., что оказывается над было брать 2шт по 79... я была очень занята на работе и проглотила это... НО мы с мужем работаем на руководящих должностях в серьезной компании, уж просмотреть, что надо было брать 2 шт, мы реально не могли, 100%. С тех пор зареклась не ходить на эту точку. И тут сегодня опять (бегом надо было купить курицу) и старшая позвонила, что прокладки надо купить, взяла по акции 69 руб. ( но была опять с маленькой дочкой, которая бежит на улицу) дома глянула и ахнула опять.,РЕКЛАМАпрокладки пробиты по 103 руб... Совести нет у директорши и сотрудников... в магазине народу ноль... С себя вины не снимаю, проверяй, говорят не отходя от кассы, но жизнь заставляет нас бегать бегом по магазинам... То еть и зарабатывают на нас, или кто бегом как мы закупаем по 2 пакета больших, или кто слепой забыл очки, пенсионеры... но именно на этой точке просто беспредел... брали бы может и больше, тк магазин у садика находится, но ... пусть карманы набивает директорша... пойдем пешком на дзержинского, 39 в грей хаус тогда...PS. когда люди работают с 8-17 с документами и видят любой косяк, они грамотно читают и ценники, даже бегом. Думаю тут связано с ""увеличенной"" проходимостью после работы людей и неправильных ценников... Тк иначе прибыли не будет, магазинчик то закроют.";1;1;1;1;1;1;НЕТ
https://otzovik.com/review_6021554.html;"Отзыв: Сеть магазинов эконом-класса ""Пятерочка"" (Россия) - один негатив.";07.02.2018;плюсов нет.;одни сплошные минусы.;07.02.2018 г. днем (день недели среда) пришел в магазин с ребенком и совершил покупку.Дома обратил внимание на чек, скидку мне не дали, хотя у них проходит акция семейная среда. При этом продавец видел, что я с ребенком и не спрашивал о возрасте ребенка. Позвонил на горячую линию и на заданный вопрос получил ответ, что продавец (кассир) определяет на глаз возраст ребенка. На горячей линии я задал вопрос: как можно определять на глаз возраст, если внешне ребенок может выглядеть старше, по росту или по другим физиологическим данным? Данный факт они отказались комментировать и предложили написать обращение в указанный магазин, которое они составят сами. Я спросил, будет ли результат, и как я об этом я узнаю? Горячая линия мне ответила, что о разбирательстве по поводу моего обращения они не сообщают. То есть все обращения это пустое место.;1;1;1;1;1;1;НЕТ
https://otzovik.com/review_6020195.html;"Отзыв: Сеть магазинов эконом-класса ""Пятерочка"" (Россия) - Магазин квест,бардак полный";07.02.2018;нет;отсутствие ценников очереди не качественный товар;Магазин Пятерочка по адресу Мурино ул Садовая 38. Все хорошо место проходимое и находится в шаговой доступности НО... Зайдешь, что бы быстренько что то купить, ведь такие магазины на то и рассчитаны? И начинается...РЕКЛАМАценников нет процентов 60, либо там где они есть стоит абсолютно другой товар((В магазине всего два сканера работает один, что бы узнать сколько стоит молоко надо сбегать в отдел бытовой химии((С такой организацией рабочего процесса надо вешать сканер в каждый отдел. Соответственно народ доносит товар до отдела БХ и там его бросает, тк цены не устраивают. Видимо потом это разносится обратно по отделам, не понятно через какое время и условия хранения нарушены, тк молочка должна хранится в холодном шкафу с определенной температурой. Итог:часто приносишь домой кислое молоко. Отдел ОВОЩИ и ФРУКТЫ вообще квест какой то((Навалено всего и одна прайсшина на все. Как разобрать, что за сорт яблок ты берешь и сколько они стоят не понятно. На кассе продавцы сами не знают, что Вы им принесли и лупят на угад, что есть в наличии в матрице. На кассе очередищи всегда, бедные кассиры отдуваются за несоответствие руководящих сотрудников. Есть же статистика покупательского потока, ну неужели нельзя обеспечить наличие всех работающих касс. Дети орут, покупатели психуют, бросают корзины и уходят((Отвратительная организация рабочего процесса.;1;1;3;1;4;1;НЕТ
https://otzovik.com/review_6019222.html;"Отзыв: Сеть магазинов эконом-класса ""Пятерочка"" (Россия) - Все хуже и хуже";07.02.2018;Акции;Большие очереди, плохие продукты;"Здравствуйте все!Наконец хочу написать отзыв об этом магазине. Хожу туда частенько, так как возле дома находится.Речь пойдет о магазине ""Пятерочка"" в городе Пушкин, Колокольный переулок.РЕКЛАМАСнпчала я обрадовалась, что рядом с моим домом откроют этот магазин, потому что там много акций и цены на порядок ниже, чем в О'кее или Перекрестке.И вот долгожданное открытие состоялось. Сначала все понравилось, продукты все свежие, цены приемлемые и что не мало важно, на всех кассах были продавцы и очередей не было.Но чем дальше, тем хуже... Сейчас в этом магазине постоянные очереди. А недавно меня вообще вывела из себя кассир. Стояла я в очереди, была уже вторая и кассирша мне говорит: ""Идите на другую кассу"". А на другой кассе еще одна большая очередь. Ну ладно, перешла. А за мной еще мужчина стоял, так она этому мужчине начала пробивать товар, т. е. я ушла опять в очередище стоять, а за мной мужик прошел просто так... Я в шоке...Фрукты попадаются плохие, внешне хорошие, а внутри гнилые.Даже не смотря на их акции, в магазин идти не особо хочется...";1;1;1;1;1;1;НЕТ
https://otzovik.com/review_5991859.html;"Отзыв: Сеть магазинов эконом-класса ""Пятерочка"" (Россия) - Не советую!";01.02.2018;Скидочные акции;Беда с ценниками и некоторым персоналом;"С магазинами сети ""Пятерочка"" знаком давно, не понаслышке и, к сожалению, не с лучшей стороны. Посещаю его только потому что он ближе всех остальных магазинов расположен к дому, да и то, только по мелким покупкам. По ""серьезному"" езжу в другие магазины.Что отталкивает:1. Маленький ассортимент некоторых товаров2. Систематическая неразбериха ценников и товаров3. Товары по акциям не всегда в наличии, а которые и есть, заканчиваются гораздо раньше сроков окончания оной.4. Кассиров на своих местах постоянно нету. Не редки случаи, когда при нескольких рабочих терминалах сидит всего одна кассирша и скапливается большая очередь...Согласитесь, список не маленький. Да и пункты в нем весьма неприятные. Хотелось бы лучшего(((";3;3;4;1;4;1;НЕТ
https://otzovik.com/review_5991847.html;"Отзыв: Сеть магазинов эконом-класса ""Пятерочка"" (Россия) - Сеть лохотронов";01.02.2018;Если все продукты перепроверять по сканерам ценн до кассы, то можно действительно сэкономить.;Чтобы не купить товар дороже чем во многих других магазинах, необходимо проверять по сканерам цены всех продуктов!;"Добрый день.Периодически посещаю ""Пятерочку"" (лучше бы назвали Двоечка - было бы правдиво) по адресу Москва, Нагорная 21.И постоянно акционные ценники стоят у товаров, которые не по акции!!!Буквально 31.01.18 при входе в магазин указана акция на большом плакате зеленого горошка. Это было уже после 19:00 (среда). Акции обновляют поп понедельникам.На нижней полке стоит горошек с акционной ценой. На кассе оказывается, что он дороже в 2 раза. Возвращаюсь. Смотрю марку горошка на рекламном банере, нахожу на полке, НО! Ценник обычный, то есть в 1.5 раза дороже, чем указан в акции. Зову заведующую.Все показываю. Спрашиваю почему у Вас такие обманки постоянно? Ответ - наглый, молчаливый взгляд и замена ценников.";1;1;1;1;1;1;НЕТ
https://otzovik.com/review_5982074.html;"Отзыв: Сеть магазинов эконом-класса ""Пятерочка"" (Россия) - Неверно указанные часы работы, грубое отношение со стороны продавцов-кассиров.";30.01.2018;Отличные фркуты и овощи;Хамство со стороны персонала;Сегодня 30.01 вечером в 21.50 я обнаружила, что мне необходимо купить недостающий продукт. Посмотрев часы работы Пятерочки в Яндекс. Картах на ул. Обронная, 12, я очень обрадовалась что она работает до 23.00, но решила сверить с официальным сайтом, где убедилась что действительно до 23.00. И поспешила за покупкой. В 22.00 я была уже на пороге магазина, но магазин закрывался!!! Я спросила продавца почему так, если во всех источниках указано до 23.00! На что мне ответили что это не правда и вообще я не там смотрю (при этом продавец сама не убедилась в правдивости моей информации). Не став долго спорить, я попросила передать чтобы внесли корректную информацию на официальный сайт и в яндекс, на что продавец уже в грубой форме и на повышенных тонах рекомендовала «себе где-нибудь записать там», что магазин работает до 22.00.РЕКЛАМАДо этого случая магазин любила и была в приятных отношениях с персоналом, теперь отпало какое-либо желание посещать магазин Пятерочка на Оборонной, 12 (г. Дмитров);3;3;3;3;3;3;НЕТ
https://otzovik.com/review_5887576.html;"Отзыв: Сеть магазинов эконом-класса ""Пятерочка"" (Россия) - Эконом-класс - в этом весь смысл";12.01.2018;Низкие цены, программа лояльности;Низкое качество собственной продуции;"В нашем городе ""Пятерочку"" ждали как манну небесную. И зашла она в массовом количестве аккурат перед Новым годом. Конечно, народ ринулся туда. Но в целом, качество продукции оставляет желать много лучшего.Вся продукция марки ""Красная цена"" - это минное поле. Думаю, что бытовая химия и бакалейные товары еще сносны, но вот еда... Рыба может быть мягко говоря полежавшей, в банке оливок их может плавать 10-15 штук. На другое пока не натыкалась, нет желания пробовать.В то же время, перед Новым годом удалось взять вполне приличную красную икру и новогодние подарки по приятным ценам, даже по очень приятным среди других магазинов. Опять же, карты лояльности помогают хорошо экономить, постоянные акции и скидки - тоже хорошо.В общем, впечатление двоякое. Делаю вывод, что ходить туда надо с большой осторожностью.";3;3;3;3;3;3;ДА
https://otzovik.com/review_5872206.html;"Отзыв: Сеть магазинов эконом-класса ""Пятерочка"" (Россия) - Ну вот всё как везде - название ток другое...";09.01.2018;да какие плюсы? Всё одно и то же;всё одно и то же;Ну вот что сказать? Всё как везде, везде карты скидочные продаются, только у кого то по 50 рублей у кого то по 35 рублей... Товара ассортимент вроде широкий, как по качеству так и по ценам... Продукция вроде вся в достатке! Только вот дезодорантов муржских и туалетной воды что то никак не смог найти... Ток женское всё... А так вроде всё есть, и цены доступные.НУ и проблемы перечислю, в зале почему то завалы постоянно, пройти негде, в холодильниках с пельменями не разберешься в ценниках, ценников миллион, пельменей 5 штук и ток самые дорогие...Ну и главная проблема, как то брал сельдь в вакумной упаковке, по приходу домой раскрыли упаковку, а в ней тухлая сельдь, чек не сохранили возвращать не стали, но ужин был испорчен как настроением так и рационом.;3;4;4;3;3;3;ДА
https://otzovik.com/review_5871871.html;"Отзыв: Сеть магазинов эконом-класса ""Пятерочка"" (Россия) - От случая к случаю";09.01.2018;Периодически бывают хорошие акции и начисления на карту бонусных баллов.;Попадается нечестный на руку персонал на кассах.;Магазины Пятёрочка часто радуют хорошими акциями и скидками. А бонусная карта действительно выручает. Но персонал иногда сводит на нет, все плюсы торговой сети. Сегодня был повод посетить Пятёрочку, накинули 500 бонусных баллов. В магазине на Серпуховском валу закупился овощами. На кассе взвесили три головки чеснока и волшебным образом получилось в чеке 260 грамм и цена в два раза выше, чем должно быть на самом деле. Дома положил на весы, три чесноковины весят 129 грамм. Кто то скажет мелочь, но из мелочей складывается порочная система, если вовремя это не пресечь.;3;4;4;3;4;1;НЕТ
https://otzovik.com/review_5863277.html;"Отзыв: Сеть магазинов эконом-класса ""Пятерочка"" (Россия) - Отличный магазин цена-качество";07.01.2018;Удобно, рядом с домом, всегда чисто, частые акции, журналы в магазине;Мало работников, очереди на кассе, не успевают менять ценники;Ежедневно я посещаю магазин Пятерочка, в котором сейчас очень удобно затариваться и все, кто говорят, что там ужасно глубоко ошибаются на мой взгляд.РЕКЛАМАЕсли сравнивать с магазинами Магнит, то Пятерочка превосходит их в разы на мой взгляд. Это видно визуально, так как Магниты стали один за другим делать апгрейты своих магазинов. Теперь вернемся к Пятерочке... Цены отличные и самые дешевые на мой взгляд, частые акции дают возможность экономить, но зачастую приходится брать товар, который не очень нужен в ближайшее время, но когда видишь, что акция сегодня заканчивается, а товар реально дешевле в два раза и притом срок годности позволяет, то приходится брать. Так же хочу отметить, что очень удобно, то что в магазине всегда есть журналы с акциями и скидками. А тем, кто говорит, что там просрочка могу посоветовать делать покупки на рынке, где вообще нет сроков годности на многие товары и ходи думай, сколько он уже лежит на прилавке. Да кстати овощи там тоже очень дешевые, дешевле чем на любом рынке.;5;5;5;1;5;4;ДА
https://otzovik.com/review_5800555.html;"Отзыв: Сеть магазинов эконом-класса ""Пятерочка"" (Россия) - Среднее. Не впечатляет";21.12.2017;Магазины на каждом шагу. Работают до позднего вечера.;Обман покупателей;"Зачем во всех магазинах, во всех регионах, на каждой торговой стойке, на кассе - клеить баннеры о том, что можно списать бонусы спасибо ""Сбербанка"", если этого сделать нельзя? Определено несколько магазинов в самых крупных городах. В итоге обман! Про ценники вообще можно не говорить! в метре друг от друга одна и та же продукция с разной ценой (разница не маленькая) по датам действия ценники актуальны оба. Работают ""на дурака""! Акции почти на 99% фейк. Из всего ассортимента акционного товара можно выделить 1-2 который действительно идёт со скидкой. Только ""жить"" ему со статусом ""годный продукт"" остаётся 1-2 дня.";2;2;2;2;2;2;НЕТ
https://otzovik.com/review_5771273.html;"Отзыв: Сеть магазинов эконом-класса ""Пятерочка"" (Россия) - Пятерочка";14.12.2017;акции, парковка, хорошие цены;касса, сладости возле касс;Хожу очень часто в этот магазин, покупаю самое необходимое там, т. к близко к дому и парковка есть хорошая. Вообще магазин мне нравиться, если покупать самое необходимое и ходовое, (молоко, хлеб и т д). И часто проходят акции и заметила цены бывают очень даже привлекательные. Потом своя бонусная система, и дочке особенно нравится ластики получать троллики. Но колбасные изделия, сыры и мясо конечно я беру на рынке и у проверенных поставщиков. Из минусов это мало открытых касс, видимо из-за нехватки кассиров, и то что сладости находятся внизу возле кассы на уровне детей. Из удобств это то что, взвешивается все на кассе, и где и проверить можно;4;3;5;2;5;3;ДА
