Address;Text;Date;Stars
Невский просп., 48;Однозначно рекомендую посетить магазин Eurospar на Невском: я бы взяла этот супермаркет как образец для всех остальных торговых сетей😁Широкий ассортимент продуктов и товаров (в том числе тех, что не встречала в других магазинах), огромный выбор готовых блюд: есть и мясные, и овощные, и постные, и даже гриль - на любой выбор! При этом все очень вкусно и разнообразно. Отдельно хочу выделить раскладку продуктов - у каждой витрины можно зависнуть надолго, разглядывая и изучая оформление. Особенно отмечу вкусные и зрелые авокадо и болгарский перец-гриль. Очень удобно для работающих неподалеку - можно вкусно и быстро пообедать, так как сразу у магазина стоят столики. Есть кассы самообслуживания. Магазин необычно расположен: можно зайти на Невском и выйти на Итальянской, и наоборот. Цены в магазине вполне доступные - есть более дорогие товары, есть более дешевые - в целом соответствуют уровню этого супермаркета.;16 марта;5
Невский просп., 48;Большой супермаркет,работает круглосуточно.Огромный ассортимент товаров по доступной цене и хорошего качества. В магазине есть все,точки где можно купить :суши, шашлык, салаты, выпечку ,чай, кофе. После оплаты можно перекусить в специально отведённых зонах,можно вымыть руки:есть вода, мыло.Так же имеются микроволновки, одноразовая посуда и туалет.( платный).Есть кассы безналичной оплаты.(если надо рядом есть помощник, подскажет )Продавцы все вежливые.Расположение удачное, рядом станция метро.Рекомендую к посещению;3 июня;5
Невский просп., 48;Отличный магазин для праздных туристов. Есть готовая еда и очень много и на любой вкус. Есть полуфабрикаты и бакалея для любителей готовки, есть овощи и фрукты, пироги, торты и пироженные, кофе из автомата, но вкусный, чаи в бумажных стаканах с натуральными ингридиентами (мед, ягоды, мята, имбирь, корица и пр.), есть зона со столами и приборами, где в е это можно сьесть. Магазин круглосуточный. Алкоголь и напитки тоже широко представлены.;14 мая;5
Невский просп., 48;Хорошая сеть магазинов, с отличным выбором товаров. Конкретно этот тесноватый для центра очень популярного туристического города, очень много народа, особенно на входе/выходе, узкий проходв. Не плохой выбор готовой еды, но если сравнивать с другими магазинами в сети, то в московских выбор раза в три выше и разнообразнее. Удобное сквозное расположение, можно зайти и выйти с разных сторон улицы, чтобы не обходить все здание.;28 августа;4
Невский просп., 48;Отличный магазин в центре Невского!!! Можно выбрать еду на любой вкус и по разным ценовым сегментам. Я брала пирожки с мясом, подруга пирожки с горбушей. Остались очень довольны. Ничем не хуже, чем в близлежащих кафешках ,в которых ,практически идентичное,но в три раза дороже!!! Однозначно,если проголодаюсь, гуляя в центре, питаться буду в этом круглосуточном магазине!;15 мая;5
Невский просп., 48;"Большой SPAR. Очень хорошая выкладка по всем категориям продуктов. По классу между премиальным Перекрестком и Азбукой вкуса. В принципе товары на любой бюджет.Есть ресторанная зона ""домашняя кухня"" и гриль. Качество отличноеФрукты/овощи всегда свежие. Собственная выпечка тоже.Отличный вариант туристу забежать перекусить, пробегая по Невскому. Особенно если мало времени.";1 августа;5
Невский просп., 48;Лучший магазин в Питере)) Как обычно огромный ассортимент, со свежими фруктами и ягодами. Нравится рыбный отдел, очень большой выбор икры и свежей, охлажденной рыбы. Работает круглосуточно, что позволяет приехать даже после загруженного дня. Вообщем все сюда, чтобы сделать покупки или удивить чем-то вкусным!));25 апреля;5
Невский просп., 48;"Магазин очень популярный, большой ассортимент продуктов, есть сопутствующие товары, пришлось даже стоять в очереди в кулинарный отдел, но не все блюда порадовали. Суши больше не буду покупать - совершенно не понравились, брала 4 вида - все невкусные. Салаты - обыкновенные, без восторга... Понравились пироженки ""Картошка"" - вкусные и упаковка удобная. Магазин не дешёвый, хотелось бы и качество соответствующее.";15 августа;4
Невский просп., 48;Очень понравилось большое разнообразие готовой еды. Мне как туристу не всегда была возможность приготовить, чем и выручал магазин, здесь можно и было перекусить. Меню разнообразно, салаты, горячее, выпечка всё свежее, вкусное и адекватное по цене. Рекомендую однозначно!!!);11 августа;5
Невский просп., 48;Любимейшее место Санкт-Петербурга. Возможность сделать покупки и заодно по доступной цене попробовать деликатесы и простую ,но вкусную еду. Много мясных ,рыбных,овощных полуфабрикатов . Разнообразие готовой продукции. Большой зал кафетерий. Туалеты платные,чистые.;17 июня;5
Невский просп., 48;Люблю этот ЕВРОСПАР Еда свежеприготовленная в ассортименте на любой вкус и кошелёк! Если бы жила рядом не готовила бы вовсе! Снеки( дети брали) пробовала,но не в восторге,хоть это дело вкуса.... Мне нравится туда заходить с детьми ,,по простому,, не надо переживать за то как выглядим ( а мы можем быть после бурной прогулки,с коляской...тот ещё видок))), а так же когда я одна,могу спрятаться в уголок с книжкой и суши)));6 июня;5
Невский просп., 48;Отличное место, где можно недорого и вкусно поесть. Особенно удобное для клерков из офисов неподалёку и сотрудников окружающих магазинов/кофеен, чтобы быстренько забежать и поесть в обеденный перерыв) Большое разнообразие всего, особенно люблю пасты и возможность взять уже нарезанное фруктовое ассорти :>;18 июня;5
Невский просп., 48;Новая для меня торговая сеть. Понравился ассортимент и цены.Не понравились готовые блюда. Да в магазине имеется своя кухня с достаточно широким ассортиментом блюд (готовят даже три вида плова)! Мой выбор в тот день пал почему то на роллы и увы я был разочарован. Рис переварен, рыхлые и безвкусные. Брал три вида. Может это просто мне не повезло.;13 августа;4
Невский просп., 48;Очень удобно, набрали шашлыка, люля и жареных купат, очень вкусно, дочки ролл набрали- объелись дома, ездили в Питер, снимали квартиру, некогда готовить -жаль время, слишком много красоты вокруг, а так пришёл набрал вкусняшек, сытно и бюджетно, даже можно и в магазине покушать, многие так и делают. Советую скачать приложение, при оплате хороший кэшбэк, потом на следующей покупке списывал.;3 августа;5
Невский просп., 48;Очень классный магазин. Очень выручает. Тут много домашней еды и выпечки. Свежие салаты, суши. Самая вкусная куриная шаурма. Вкусная запечённая грудка куриная. Пицца обалденная. Микроволновка, чтобы разогреть для туристов. Можно помыть руки. Бесплатные вилки и ложки. Цены дешёвые. Рекомендую всем;27 августа;5
Невский просп., 48;Захожу в Евроспар, расположенный в подвальном помещении Пассажа, частенько, утром, по пути на работу. Неплохой ассортимент и есть кулинария, что привлекательно. Персонал магазина разный: есть вежливый, знающий и доброжелательный, есть хамоватый.. Однако, научить сотрудников в торговых залах обращать внимание на покупателей, а не перекликиваться между собой в нецензурной форме, стоило бы. Сегодня удивила работающая на кассе №1 Евгения - на предложение продвинуть ленту, чтобы можно было поставить продукты покупателям из немалой очереди (в 8.10 утра на выходе в сторону Итальянской работала как обычно одна касса) сотрудница сообщила, что у нее только две руки и она занята, а кнопку лентопротяжки нажмет когда у нее будет на это время. За пояснение конечно спасибо, но хорошо бы объяснить сотруднику магазина Евгении, что внимание к покупателям и вежливое обслуживание является и для нее первоочередной задачей.;4 мая;3
Невский просп., 48;Любим брать тут домашнюю кухню! Иногда еда бывает не самая свежая, поэтому не стоит расслабляться и надо всё нюхать хаха. Но если еда свежая, то вкусно и очень приятно по цене:)А на счёт ассортимента магазина. Очень смущает маленький выбор напитков и они стоят не в холодильнике. Поэтому если покупаешь 0.5 колы в спаре- она будет теплая, а это не круто..;12 августа;4
Невский просп., 48;Обожаю вообще всю сеть SPAR!В этом всегда что-то покупаю по-ходу, ягод и фруктов лучше чем в SPAR за такую приемлемую цену - сложно найти))Но в последний раз воспользовалась услугой сборка и самовывоз - претензий к качеству самой сборки нет- а вот с форелью (я добавила опцию - потрошить)положили не свежую 🤢Печаль… на будущее - буду писать в комментариях этот момент.;14 мая;5
Невский просп., 48;Отличный ассортимент, приемлемые цены. Великолепная кулинария!!! Особенно вкусные супы, мясные полуфабрикаты, выпечка. Кассиры вежливые и неконфликтные. Весь персонал работает быстро и профессионально. Приятное впечатление от магазина.;18 июля;5
Невский просп., 48;Хороший магазин. Выбор товаров большой. Вкусная кулинария (пицца, суши, салаты и т.д). Цены для магазина в центре города ооочень даже привлекательные. Один большой минус (лично для меня), если в отделе где продают кулинарию немного задержаться, то потом вся одежда и волосы пахнут едой. Терпеть не могу когда от одежды пахнет столовой.;10 мая;4
Невский просп., 48;Отличный магазин! Работает круглосуточно. Большой выбор товаров и готовых блюд по приемлемым ценам. Есть товары собственной марки. Продукты свежие, готовые блюда вкусные. Ассортимент товаров широкий.;6 июля;5
Невский просп., 48;Отличный магазин возле Гостиного двора, отличный ассортимент и выбор свежей готовой еды. Посетителям культурной столицы однозначно рекомендую. Из минусов - много народу в час пик, но благодаря кассам самообслуживания покупка проходит быстро!;7 июля;5
Невский просп., 48;Рядом магазин Евроспар на Савушкина. Поначалу после открытия была отличная кулинария, всё очень вкусно и цены приятные. После месяца работы, кулинария очень испортилась, то ли поваров поменяли, то ли стали дешёвые и некачественные продукты использовать. Всё невкусно стало! В общем, нет уже той изюминки у магазина и радости от посещения... Очень жаль, что начальный запал при открытии магазина иссяк очень быстро. А задумка хорошая была...;22 июня;2
Невский просп., 48;Хороший магазин с большим выбором продуктов, а также разнообразной готовой еды. Цены приемлимые. Еда вкусная и каждый день свежая. Лучше подходить к обеду, тогда застанете весь ассортимент. Можно поесть прям в магазине, бесплатные пластиковые столовые приборы. Классные компоты собственного производства.;14 июля;5
Невский просп., 48;Ходила раньше часто, работаю рядом. Удобно забежать утром и купить йогурт и булочки. Днём нормально пообедать можно. НО последний визит очень огорчил. Решили взять капучино из аппарата, из одно лилась вода вместо кофе, из другого вроде кофе, но пенкой слабоват. В итоге же не допили, такого пойла не ожидали. Возможно в 22 ч это норма для спара, но обидно. Кассира не дождались, кассы самообслуживания перегружены, персонал отдельный отзыв нужно писать. В общем, испортить успели магазин. Вонь от кухни стоит постоянно, одежда потом подлежит стирке.;26 июня;2
Невский просп., 48;Это лучший продуктовый магазин на Невском. Огромный выбор продуктовых и бытовых товаров, качество прекрасное. Вежливый персонал, быстрое обслуживание. На кассе народу много, но очередь всегда идёт быстро. Большой выбор готовых блюд.;10 августа;5
Невский просп., 48;Очень удобное расположение, когда отдыхали рядом, по пути всегда заходили. Большой выбор продуктов, готовая еда, выбор пива очень маленький. Народу в магазине очень много, ни утром ни днем ни вечером не протолкнуться. Магазин узкий и длинный, в кассы всегда очередь.;20 июля;5
Невский просп., 48;Очень удобное расположение магазина. В самом магазине можно найти все, что угодно ( от обычной еды до готовой, а также есть еда для спортсменов). Очень приветливый персонал. А также работают карты магазина Москвы, что не может не радовать.;3 августа;5
Невский просп., 48;Прекрасное открытие для того, чтобы очень недорого и вкусно поесть. Радует чистота, раковины, все для самообслуживания. Огорчает огромное количество пластика и нерусскоязычность некоторых продавцов. На 4+;7 июля;5
Невский просп., 48;Это магазин крутой ,там кстати можно покушать много столиков со стульями. Есть микроволновка ,есть где руки сполоснуть.в конце зала кассы не доходя стоят приборы можно взять бесплатно,есть ряды где приборы платные . Ассортимент космический там есть все что пожелаете ,я сделала вывод там свежая рыба стоит очень дорого все остальное на любителя ,где то цена за 200гр где то за кг . Советую сразу не набирать продукты так как вы ещё не обойлетеивсе прилавки а корзинка будет полной я наблюдала за парочкой которые как сразу вошли в магазин стали кидать в коззинку а спустя н минут уже в ней не осталось места .Есть кассы самообслуживанияно есть кассы с кассиром на тот случай если у вас только наличные. Я всем советую посетить этот огромный магазин там при вас приготовят то что вы выберете . Цены норм каждый второй может себе позволить,супы все очень вкусные стоят по объему 0.8 меньше литра всего 189р суши мне понравились запечённые 1кг получился 549р васаби и соус бесплатно в пакетиках . Не помню как называется там в прозрачном круглом контейнере 2х ярусный внизу рис с соусом тиреяки наивкуснейший в маленьком контейнере ,сверху как тарелочка нарезка св огурцы,авокадо ,королевские креветки 4-5 шт и водоросли зелёные сладкие в меру не помню как называются посыпанные кунжутом стоит этот набор 299р все очень вкусное и сытная порция ,огромный ассортимент салатов а какие там пиццы и размер внушительный огромный от 800-1500в зависимости начинки можно накормить большую компанию. Кулинария это что то не в одном магазине не увидеть такого ассортимента и цены супер . А выпечка а пирожные там какие ням ням огромный ассортимент тортов и цены от 400- 1550 там они в разы дешевле чем вы купите в привычном вашем магазине . Невский 48 это Пассаж в бывших складах Пассажа самый большой считается магазин из 8 что по городу . Ещё раз хочу сказать что есть доставка на дом ,если вы хотите все купить надо указывать конкретный адрес маг Невский 48 .Народу всегда много ,можно смело приехать ночью ,магазин работает круглосуточно. Можно скачать карту онлайн и ещё дешевле вам обойдется товар. 👍👍🔥;19 июля;5
