store_name,store_type,store_address,store_district,text,stars,date,Parameter
Дикси,Супермаркет,"Суворовский проспект, 36",Смольнинское,"""Дикси"", как ""Дикси"" Постоянно нужно следить, чтобы товары на полке соответствовали ценникам, хамоватый восточного вида управляющий.. Ну и кассир бабуля, которую покупатели, откроненно раздражают.. Правда,буду честным есть несколько нормальных кассиров и рыжеволосая менеджер хорошая:)",3.0,2023-03-22,текст про качество товаров
Дикси,Супермаркет,"Суворовский проспект, 36",Смольнинское,"""Дикси"", как ""Дикси"" Постоянно нужно следить, чтобы товары на полке соответствовали ценникам, хамоватый восточного вида управляющий.. Ну и кассир бабуля, которую покупатели, откроненно раздражают.. Правда,буду честным есть несколько нормальных кассиров и рыжеволосая менеджер хорошая:)",3.0,2023-03-22,текст про качество товаров
Пятерочка,Супермаркет,"Лиговский проспект, 107",Владимирский,"""Пятёрочка"" выручает, вернее и не скажешь:)",5.0,2023-05-10,текст про чистоту магазина
Дикси,Супермаркет,"Большая Московская, 5",Владимирский,",где суповые наборы,где овощные смеси, ?в холодильнике с пельменями сам чёрт не разберётся?места мало,постоянно очередь в кассу.персонал на четвёрку!",2.0,2022-07-15,текст про персонал магазина
Дикси,Супермаркет,"Чайковского, 55",Литейный,"«3» только после того, как стал свидетелем диалога зам. администратора — молодой дородной девахи — с покупателем. Такого хамства не слышал со времён горбачевской перестройки. На замечание отвечала таким же хамством. Представиться отказалась, сославшись на конец рабочего дня. Интересно и то, что кассиры — девушки из Средней Азии — молчали, как рыбы. В убранстве магазина есть некоторая неряшливость, но эта черта свойственна почти всем магазинам этой сети.",3.0,2022-05-21,текст про персонал магазина
Пятерочка,Супермаркет,"Разъезжая, 23",Владимирский,"«Люксовая пятерка». Лучший магазин сети, который я когда-посещал.",5.0,2022-01-09,текст про чистоту магазина
Пятерочка,Супермаркет,"Марата, 65/20",Владимирский,"0/10 меня не пустили на кассу.стоит очередь, открыта одна касса,директор магазина не пускает на вторую и хамит.советую ее уволить",1.0,2022-06-27,текст про персонал магазина
Пятерочка,Супермаркет,"Владимирский проспект, 6",Владимирский,"03.11.22 вечером. Не хотели выдавать чек. Продали йогурт на 20 руб. дороже, чем в ценнике. Долго разбирались и выяснили, что йогурта, который был на ценнике по штрихкоду вообще нет. Йогурт у меня забрали, деньги вернули, хотя были обязаны продать мне этот йогурт по той цене, которая стояла на ценнике. Участия ни кассир, ни администратор не проявили. За ценниками я ходила сама. Вели себя грубо.",2.0,2022-11-06,текст про цены товаров
Вкусвилл,Супермаркет,"Невский проспект, 130",Смольнинское,"09.06.2023 магазин вовремя не открылся, очередь собралась на улице, подождали и ушли. Никаких объявлений не было",1.0,2023-06-09,текст про расположение магазина
Пятерочка,Супермаркет,"Невский проспект, 146",Смольнинское,1 холодильник с холодными б/а напитками и все.,3.0,2022-04-17,текст про качество товаров
Пятерочка,Супермаркет,"Черняховского, 16/5",Лиговка-Ямская,"1. Очень неудобное расположение залов, хлебный справа от касс, остальные продукты слева.2. Ассортимент не такой большой, как в обычных 5ках крупных городов.3. Болезнь многих 5к ценник под продуктом на прилавках не соответствует самому продукту",4.0,2022-06-15,текст про расположение магазина
Пятерочка,Супермаркет,"Суворовский проспект, 10",Смольнинское,"12 мая мне был пробит товар не по той цене, которая была указана в ценнике. Ахметова и Сафронова вместо того, чтобы вернуть деньги, кричали на меня, употребляя низменную, грязную брань. Мало того , мне не была применена скидка по карте Мир, касса была скорректирована. Таким образом обманывают не только меня.Мошеннические действия в этом магазине постоянны. Бейджиков нет.Руководство сети магазинов""5"" никаких действий не предпринимает по наведению порядка. Антисанитария, пахнет рядом с кассой  кошками. Покупатели жалуются по этому поводу, ничего не меняется",1.0,2023-05-13,текст про цены товаров
Дикси,Супермаркет,"Большая Московская, 5",Владимирский,"1кассир, нет бокс-ящиков, не совсем чисто и уютно",3.0,2023-07-15,текст про чистоту магазина
Дикси,Супермаркет,"Лиговский проспект, 91",Владимирский,"2 кассы, быстро обслуживают. В магазине порядок.",4.0,2023-08-09,текст про персонал магазина
Пятерочка,Супермаркет,"Достоевского, 30/23",Владимирский,2 этажа пятерочки,5.0,2022-03-30,текст про расположение магазина
Дикси,Супермаркет,"Лиговский проспект, 1",Смольнинское,"21 июля 2022 года в 23.55 продавец закрыла магазин перед носом покупателей, мотивируя тем, что она работает одна!",1.0,2022-07-22,текст про чистоту магазина
Пятерочка,Супермаркет,"Стремянная, 1",Владимирский,"21.06.023 где то в 15.05 совершил покупку в этом магазине, на выходе меня остановила женщина в форме сотрудницы магазина. Спросила оплатил ли я покупки, я ответил да, она попросила показать сумку, я отказался. Женщина начала повышать тон и требовать что б я показал свою сумку, я включил видеофиксацию на смартфоне и попросил ее представится. На что женщина начала угрожать мне и ругаться матом, подошли ещё 2 сотрудника, муж и женщина, мужчина представился директором магазина, женщина замом. В это время женщина которая меня остановила начала вырывать у меня тел и душить. Ее директор стоял и ничего не делал, зам директора пыталась рыться у меня в сумке. Через какое то время она увидела чек в сумке и все трое быстро убежали, ни извинений ни чего такого не принесли, я написал заявление в полицию и снял побои. Фото неадекватки которая меня душила и пыталась ограбить, прилагаю.",1.0,2023-06-22,текст про персонал магазина
Пятерочка,Супермаркет,"Владимирский проспект, 6",Владимирский,"21.06.023 где то в 15.05 совершил покупку в этом магазине, на выходе меня остановила женщина в форме сотрудницы магазина.Спросила оплатил ли я покупки, я ответил да, она попросила показать сумку, я отказался.Женщина начала повышать тон и требовать что б я показал свою сумку, я включил видеофиксацию на смартфоне и попросил ее представится.На что женщина начала угрожать мне и ругаться матом, подошли ещё 2 сотрудника, муж и женщина, мужчина представился директором магазина, женщина замом.В это время женщина которая меня остановила начала вырывать у меня тел и душить.Ее директор стоял и ничего не делал, зам директора пыталась рыться у меня в сумке.Через какое то время она увидела чек в сумке и все трое быстро убежали, ни извинений ни чего такого не принесли, я написал заявление в полицию и снял побои.Фото неадекватки которая меня душила и пыталась ограбить, прилагаю.",1.0,2023-06-22,текст про персонал магазина
Дикси,Супермаркет,"Жуковского, 4",Литейный,24 часа с 9 до 22? Смешно.,2.0,2022-01-12,текст про чистоту магазина
Дикси,Супермаркет,"Жуковского, 4",Литейный,24часа ! Очень очень хорошо ! Давайте скидка побольше !,5.0,2023-04-16,текст про цены товаров
Дикси,Супермаркет,"Невский проспект, 91",Лиговка-Ямская,"27.09 21:40, продавец представтлся Максом. Пробил товары не по стоимости ценников, когда на просьбу совершить оплату по указанным ценам, сказал делайте возврат, скидочную карту не спросил, потом стал ссылаться на нее. Возврат не совершил... Будте внимательны с указанными ценами и чеком. А так же абсалютное отсутствие клиентоорентирование. Итого разница: форель ценик 229/ пробил 299.99, томатпаста 119/ пробил 150. Сколько клиентов проходит в день, сколько нарушений.",1.0,2022-09-27,текст про цены товаров
Дикси,Супермаркет,"Лиговский проспект, 1",Смольнинское,"29-го января около 3:50 ночи хотела сходить в данный Дикси, дверь была закрыта. В зале находился один сотрудник, спустя минут 10 стука в дверь соизволил обратить внимание, но не подошёл, ничего не объяснил, помахал руками типа закрыто и ушёл. Прошу администрацию магазина обратить внимание на эту ситуацию, негатива можно было бы избежать, если бы сотрудник повесил объявление о тех. перерыве на дверь/оставил номер телефона/хотя бы подошёл и объяснил, почему вдруг круглосуточный магазин закрыт.",1.0,2023-01-29,текст про расположение магазина
Дикси,Супермаркет,"Лиговский проспект, 91",Владимирский,4 звезды потому что часто утром закрыты на учет. А рядом не где купить еды на работу. Это печалит,4.0,2022-05-11,текст про персонал магазина
Дикси,Супермаркет,"Пестеля, 16",Литейный,"4 звезды,за более нормальное состояние овощей и относительно других магазинах сети Дикси,чисто и порядок,но, до совершенства далеко.",4.0,2022-06-08,текст про чистоту магазина
Пятерочка,Супермаркет,"Разъезжая, 23",Владимирский,"4/5, потому что недавно столкнулся с тем, что ценник в змж не соответствует цене.А так хороший магазин: чистый, выбор относительно большой, есть кассы самообслуживания, работают обычно две кассы, поэтому очереди почти не возникают. Из минусов не очень удобное помещение, вытянутое. Соответственно отделы не отделены друг от друга и можно запутаться. Иногда чтобы попасть в магазин надо проходить мимо касс, так как могут заставить второй проход тележками. В общем, в магазине тесновато.",4.0,2022-12-26,текст про чистоту магазина
Пятерочка,Супермаркет,"Владимирский проспект, 6",Владимирский,"5 ка она и в Африке 5 ка, тут ни чего не обычного, бегающих крыс 🐀 не видел",3.0,2022-08-24,текст про качество товаров
Пятерочка,Супермаркет,"Моисеенко, 22, лит.З",Смольнинское,"5 как 5 чистенько, удобненько, все понятненько",5.0,2023-06-17,текст про чистоту магазина
Дикси,Супермаркет,"Белинского, 1",Литейный,5 раз подряд покупал тухляк( срок на упаковке нормальный),1.0,2022-02-02,текст про качество товаров
Магнит,Супермаркет,"Лиговский проспект, 29",Смольнинское,"6 марта . 21:30 Администратор хамло, в магазине воняет фекалиями. Не смог находится в магазине дольше 5 минут, решил не покупать, а отнести товары на свои места. На выходе администратор начала тыкать мне и хамить, что я украл товары. Начала угрожать, что сейчас будет меня ""щупать"". На ответ, что у вас в магазине невыносимый запах фекалий и в нем невыносимо находится, ответила и не ходите в наш магазин, не надо. Не первый раз посещаю этот магазин, он по пути с работы, спасибо, больше не посещу. Не выношу хамства",1.0,2023-03-06,текст про персонал магазина
Дикси,Супермаркет,"Суворовский проспект, 26-28",Смольнинское,"8 мая в 21-45, управляющая сего заведения на кассе отказалась продавать молоко по акционной цене, которая указана на полке. После того, как я попросил её подойти к полке и проверить цену, она просто забрала бумажку с полки и сказала, что её там не было😄. Уровень ответственности - нашкодивший школьник. В итоге убедил ее продать по акционной цене, но она на меня ругалась и сказала, что ей без разницы, хотелки клиента. Больше туда не пойду.",1.0,2022-05-08,текст про цены товаров
Дикси,Супермаркет,"Лиговский проспект, 1",Смольнинское,"9 человек в очереди, открыта 1 касса А сегодня, я хотел купить 2 банки пива, мне 36 лет, моя борода полу сидая... 50 летняя советское чуда кассирша начала требовать паспорт... я пошёл в КБ через дорогу и все купил там. Неадекватный персонал в этом магазине.",1.0,2023-05-02,текст про персонал магазина
СПАР,Супермаркет,"Владимирский проспект, 19",Владимирский,"Eat fresh-promise delivered, time and again. Economical, hygenic, healthy and professionally managed. Heaven for a vegetarian tourist from Orient looking for a great deal and day.",5.0,2023-09-01,текст про персонал магазина
СПАР,Супермаркет,"Невский проспект, 48",Дворцовый,"Eurospar, прямо возле м. Невский проспект, супермаркет, где можно купить готовую еду и продукты и столики-кафе, где их можно попробовать. Салаты, суши, красная рыба, сыры, шашлык и овощи на гриле, напитки, продукты разные. Туалет платный 50 руб.",5.0,2023-05-06,текст про ассортимент товаров
Магнит,Супермаркет,"Загородный проспект, 1/14",Владимирский,Good 👍,5.0,2023-03-27,текст про персонал магазина
СПАР,Супермаркет,"Владимирский проспект, 19",Владимирский,"Spar поражает своей многогранностью. Наиширочайший ассортимент товаров. Порядок в торговом зале и на полках. Готовая еда изумляет. Теряешься, что же взять? Все вкусно и все свежее. Спасибо коллективу.",5.0,2023-06-02,текст про ассортимент товаров
Пятерочка,Супермаркет,"Кирочная, 45",Смольнинское,"А какая милая и информативная девушка Анжелика на кассе!!??!!!!!! Всё раскажет, в пакет положит, скидку по карте сделает!!!!!!! Настоятельно рекомендую!!!!!!!",5.0,2023-06-08,текст про персонал магазина
Пятерочка,Супермаркет,"Чайковского, 81",Смольнинское,"Абсолютно не работает оплата по QR коду, магазин находится в подвале, связи нет",1.0,2022-06-28,текст про персонал магазина
